"start_date","end_date","geo2010","timeframe","geo2010_nf","Pct_births_low_wt","Pct_births_teen","ucounty","indc"
"01JAN2012","31DEC2012","DC Tract 44",2012,11001004400,2.8,4.2,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 44",2013,11001004400,4.1,2.7,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 44",2014,11001004400,5.2,1.7,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 44",2015,11001004400,2.7,1.4,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 44",2016,11001004400,6.7,0.0,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 46",2003,11001004600,10,21,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 46",2004,11001004600,19,16,"District of Columbia",1
"01JAN2005","31DEC2005","DC Tract 46",2005,11001004600,14,6.1,"District of Columbia",1
"01JAN2006","31DEC2006","DC Tract 46",2006,11001004600,10,2.6,"District of Columbia",1
"01JAN2007","31DEC2007","DC Tract 46",2007,11001004600,21,15,"District of Columbia",1
"01JAN2008","31DEC2008","DC Tract 46",2008,11001004600,12,9.6,"District of Columbia",1
"01JAN2009","31DEC2009","DC Tract 46",2009,11001004600,14,7.0,"District of Columbia",1
"01JAN2010","31DEC2010","DC Tract 46",2010,11001004600,15,7.3,"District of Columbia",1
"01JAN2011","31DEC2011","DC Tract 46",2011,11001004600,17,6.5,"District of Columbia",1
"01JAN2012","31DEC2012","DC Tract 46",2012,11001004600,0.0,7.1,"District of Columbia",1
"01JAN2013","31DEC2013","DC Tract 46",2013,11001004600,10,2.5,"District of Columbia",1
"01JAN2014","31DEC2014","DC Tract 46",2014,11001004600,4.8,2.4,"District of Columbia",1
"01JAN2015","31DEC2015","DC Tract 46",2015,11001004600,12,4.9,"District of Columbia",1
"01JAN2016","31DEC2016","DC Tract 46",2016,11001004600,10,2.1,"District of Columbia",1
"01JAN2003","31DEC2003","DC Tract 47.01",2003,11001004701,18,15,"District of Columbia",1
"01JAN2004","31DEC2004","DC Tract 47.01",2004,11001004701,16,14,"District of Columbia",1
