"timeframe","zip","zip_nf","start_date","end_date","PctPoorPersons","PctPoorChildren","PctPoorElderly","AvgFamilyIncAdj","PctPoorPersons_m","PctPoorChildren_m","PctPoorElderly_m","AvgFamilyIncAdj_m","PctChgAvgFamilyIncAdj","Tanf_client","Fs_client"
2012,"ZIP 20003",20003,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",1047,2962
2013,"ZIP 20003",20003,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",1248,3331
2014,"ZIP 20003",20003,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",1214,3152
2015,"ZIP 20003",20003,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",1077,2974
2000,"ZIP 20004",20004,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",15,207
2001,"ZIP 20004",20004,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",6.2,195
2002,"ZIP 20004",20004,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",5.8,232
2003,"ZIP 20004",20004,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",7.4,293
2004,"ZIP 20004",20004,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",9.6,344
2005,"ZIP 20004",20004,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",4.3,349
2006,"ZIP 20004",20004,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",4.9,318
2007,"ZIP 20004",20004,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",7.4,193
2008,"ZIP 20004",20004,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",4.2,132
2009,"ZIP 20004",20004,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",1.0,113
2010,"ZIP 20004",20004,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",2.5,116
2011,"ZIP 20004",20004,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",2.8,125
2012,"ZIP 20004",20004,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",3.7,113
2013,"ZIP 20004",20004,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",3.1,106
2014,"ZIP 20004",20004,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",1.2,112
2015,"ZIP 20004",20004,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",2.1,116
2000,"ZIP 20005",20005,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",216,717
2001,"ZIP 20005",20005,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",232,669
2002,"ZIP 20005",20005,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",263,697
2003,"ZIP 20005",20005,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",246,727
2004,"ZIP 20005",20005,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",243,708
2005,"ZIP 20005",20005,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",225,772
2006,"ZIP 20005",20005,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",206,847
2007,"ZIP 20005",20005,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",182,883
2008,"ZIP 20005",20005,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",147,898
2009,"ZIP 20005",20005,"01JAN2009","31DEC2009","X","X","X","X","X","X","X","X","X",156,857
2010,"ZIP 20005",20005,"01JAN2010","31DEC2010","X","X","X","X","X","X","X","X","X",171,959
2011,"ZIP 20005",20005,"01JAN2011","31DEC2011","X","X","X","X","X","X","X","X","X",162,1096
2012,"ZIP 20005",20005,"01JAN2012","31DEC2012","X","X","X","X","X","X","X","X","X",139,1158
2013,"ZIP 20005",20005,"01JAN2013","31DEC2013","X","X","X","X","X","X","X","X","X",126,1240
2014,"ZIP 20005",20005,"01JAN2014","31DEC2014","X","X","X","X","X","X","X","X","X",108,1140
2015,"ZIP 20005",20005,"01JAN2015","31DEC2015","X","X","X","X","X","X","X","X","X",103,1091
2000,"ZIP 20006",20006,"01JAN2000","31DEC2000","X","X","X","X","X","X","X","X","X",0.4,6.4
2001,"ZIP 20006",20006,"01JAN2001","31DEC2001","X","X","X","X","X","X","X","X","X",0.4,2.6
2002,"ZIP 20006",20006,"01JAN2002","31DEC2002","X","X","X","X","X","X","X","X","X",0.0,4.3
2003,"ZIP 20006",20006,"01JAN2003","31DEC2003","X","X","X","X","X","X","X","X","X",0.0,1.1
2004,"ZIP 20006",20006,"01JAN2004","31DEC2004","X","X","X","X","X","X","X","X","X",3.0,8.0
2005,"ZIP 20006",20006,"01JAN2005","31DEC2005","X","X","X","X","X","X","X","X","X",3.9,8.3
2006,"ZIP 20006",20006,"01JAN2006","31DEC2006","X","X","X","X","X","X","X","X","X",1.5,4.1
2007,"ZIP 20006",20006,"01JAN2007","31DEC2007","X","X","X","X","X","X","X","X","X",9.9,16
2008,"ZIP 20006",20006,"01JAN2008","31DEC2008","X","X","X","X","X","X","X","X","X",12,21
